Key,Value
CoreScripts.Ads.Label.Teleporting,Teleportiere ...
Corescripts.AvatarContextMenu.FriendRequestPending,Freundschaftsanfrage ausstehend
Corescripts.AvatarContextMenu.AddFriend,Freund hinzufügen
Corescripts.AvatarContextMenu.Friends,Freunde
Corescripts.AvatarContextMenu.AcceptFriendRequest,Freundschaftsanfrage annehmen
Corescripts.AvatarContextMenu.Chat,Chat
Corescripts.AvatarContextMenu.ChatDisabled,Chat deaktiviert
Corescripts.AvatarContextMenu.Wave,Winken
CoreScripts.AvatarEditorPrompts.InventoryReadAccessPromptTitle,Auf Artikel zugreifen?
CoreScripts.AvatarEditorPrompts.InventoryReadAccessPromptText,{RBX_NAME} möchte auf die Artikel deines Avatars zugreifen
CoreScripts.AvatarEditorPrompts.CreateOutfitPromptTitle,Avatarcharakter speichern
CoreScripts.AvatarEditorPrompts.CreateOutfitPromptText,Möchtest du diesen Charakter auf Roblox speichern? 
CoreScripts.AvatarEditorPrompts.CreateOutfitPromptNo,Nein
CoreScripts.AvatarEditorPrompts.CreateOutfitPromptYes,Ja
CoreScripts.AvatarEditorPrompts.InventoryReadAccessPromptNo,Abbrechen
CoreScripts.AvatarEditorPrompts.InventoryReadAccessPromptYes,Okay
CoreScripts.AvatarEditorPrompts.SaveAvatarPromptTitle,Statte deinen Avatar mit Artikeln aus
CoreScripts.AvatarEditorPrompts.SaveAvatarPromptText,{RBX_NAME} möchte folgende Änderungen an deinem Avatar vornehmen:
CoreScripts.AvatarEditorPrompts.SaveAvatarPromptYes,Okay
CoreScripts.AvatarEditorPrompts.SaveAvatarPromptNo,Abbrechen
CoreScripts.AvatarEditorPrompts.FavouriteItemPromptTitle,Artikel in Favoriten
CoreScripts.AvatarEditorPrompts.FavouriteItemPromptText,Möchtest du {RBX_NAME} zu deinen Favoriten hinzufügen?
CoreScripts.AvatarEditorPrompts.UnfavouriteItemPromptTitle,Artikel von Favoriten entfernen
CoreScripts.AvatarEditorPrompts.UnfavouriteItemPromptText,Möchtest du {RBX_NAME} von deinen Favoriten entfernen?
CoreScripts.AvatarEditorPrompts.FavouriteItemPromptNo,Nein
CoreScripts.AvatarEditorPrompts.FavouriteItemPromptYes,Ja
CoreScripts.AvatarEditorPrompts.OutfitNamePlaceholder,Charakternamen eingeben
CoreScripts.AvatarEditorPrompts.EnterOutfitNamePromptTitle,Charaktername
CoreScripts.AvatarEditorPrompts.EnterOutfitNamePromptYes,Bestätigen
CoreScripts.AvatarEditorPrompts.ItemsListLoadingFailed,Laden fehlgeschlagen
CoreScripts.AvatarEditorPrompts.Adding,Fügt hinzu:
CoreScripts.AvatarEditorPrompts.Removing,Entfernt:
CoreScripts.AvatarEditorPrompts.NoChangedAssets,Keine Artikeländerungen
CoreScripts.AvatarEditorPrompts.EnterOutfitNamePromptNo,Abbrechen
CoreScripts.PremiumModal.Title.PremiumRequired,Nur Premium
CoreScripts.PremiumModal.Body.Description,Durch Roblox Premium erhältst du:
CoreScripts.PremiumModal.Body.RobuxMonthly,450 Robux pro Monat
CoreScripts.PremiumModal.Body.PremiumOnlyAreas,Zugriff auf exklusive Premium-Vorteile
CoreScripts.PremiumModal.Body.RobuxDiscount,10% Bonus beim Kauf von Robux
CoreScripts.PremiumModal.Action.PricePerMonth,{price}/Monat
