Key,Value
CoreScripts.Ads.Label.Teleporting,Teletrasportando...
Corescripts.AvatarContextMenu.FriendRequestPending,Richiesta di amicizia in sospeso
Corescripts.AvatarContextMenu.AddFriend,Aggiungi amico
Corescripts.AvatarContextMenu.Friends,Amici
Corescripts.AvatarContextMenu.AcceptFriendRequest,Accetta richiesta di amicizia
Corescripts.AvatarContextMenu.Chat,Chat
Corescripts.AvatarContextMenu.ChatDisabled,Chat disattivata
Corescripts.AvatarContextMenu.Wave,Onda
CoreScripts.AvatarEditorPrompts.InventoryReadAccessPromptTitle,Accedere agli oggetti?
CoreScripts.AvatarEditorPrompts.InventoryReadAccessPromptText,{RBX_NAME} vorrebbe accedere agli oggetti del tuo avatar
CoreScripts.AvatarEditorPrompts.CreateOutfitPromptTitle,Salva personaggio avatar
CoreScripts.AvatarEditorPrompts.CreateOutfitPromptText,Vuoi salvare questo personaggio su Roblox? 
CoreScripts.AvatarEditorPrompts.CreateOutfitPromptNo,No
CoreScripts.AvatarEditorPrompts.CreateOutfitPromptYes,Sì
CoreScripts.AvatarEditorPrompts.InventoryReadAccessPromptNo,Annulla
CoreScripts.AvatarEditorPrompts.InventoryReadAccessPromptYes,OK
CoreScripts.AvatarEditorPrompts.SaveAvatarPromptTitle,Equipaggia avatar con oggetti
CoreScripts.AvatarEditorPrompts.SaveAvatarPromptText,{RBX_NAME} vuoi fare le seguenti modifiche al tuo avatar:
CoreScripts.AvatarEditorPrompts.SaveAvatarPromptYes,OK
CoreScripts.AvatarEditorPrompts.SaveAvatarPromptNo,Annulla
CoreScripts.AvatarEditorPrompts.FavouriteItemPromptTitle,Oggetto preferito
CoreScripts.AvatarEditorPrompts.FavouriteItemPromptText,Vuoi aggiungere {RBX_NAME} ai preferiti?
CoreScripts.AvatarEditorPrompts.UnfavouriteItemPromptTitle,Oggetto non preferito
CoreScripts.AvatarEditorPrompts.UnfavouriteItemPromptText,Vuoi rimuovere {RBX_NAME} dai preferiti?
CoreScripts.AvatarEditorPrompts.FavouriteItemPromptNo,No
CoreScripts.AvatarEditorPrompts.FavouriteItemPromptYes,Sì
CoreScripts.AvatarEditorPrompts.OutfitNamePlaceholder,Inserisci il nome del personaggio
CoreScripts.AvatarEditorPrompts.EnterOutfitNamePromptTitle,Nome Personaggio
CoreScripts.AvatarEditorPrompts.EnterOutfitNamePromptYes,Conferma
CoreScripts.AvatarEditorPrompts.ItemsListLoadingFailed,Caricamento non riuscito
CoreScripts.AvatarEditorPrompts.Adding,Aggiungi:
CoreScripts.AvatarEditorPrompts.Removing,Rimuovi:
CoreScripts.AvatarEditorPrompts.NoChangedAssets,Nessuna modifica
