Key,Value
AccountIdentity.AgeCheck.Label.AgeBandOver13,13 عامًا فما فوق
AccountIdentity.AgeCheck.Label.AgeBandOver13Checked,تم التحقّق من أن العمر 13 عامًا فما فوق
AccountIdentity.AgeCheck.Label.AgeBandOver18,18 عامًا فما فوق
AccountIdentity.AgeCheck.Label.AgeBandOver18Checked,تم التحقّق من أن العمر 18 عامًا فما فوق
AccountIdentity.AgeCheck.Label.AgeBandUnder13,أصغر من 13 عامًا
AccountIdentity.AgeCheck.Label.AgeGroup13To15,من 13 إلى 15 سنة
AccountIdentity.AgeCheck.Label.AgeGroup16To17,من 16 إلى 17 سنة
AccountIdentity.AgeCheck.Label.AgeGroup18To20,من 18 إلى 20 سنة
AccountIdentity.AgeCheck.Label.AgeGroup18To24,من 18 إلى 24 عامًا
AccountIdentity.AgeCheck.Label.AgeGroup9To12,من 9 إلى 12 سنة
AccountIdentity.AgeCheck.Label.AgeGroupOver21,21 سنة أو أكبر
AccountIdentity.AgeCheck.Label.AgeGroupOver25,25 عامًا فما فوق
AccountIdentity.AgeCheck.Label.AgeGroupUnder9,من 5 إلى 8 سنوات
Amp.ErrorScreen.BodyText,تعذر الحصول على حالة الوصول
Amp.ErrorScreen.Cancel,إلغاء
Amp.ErrorScreen.Retry,إعادة المحاولة
Amp.ErrorScreen.Title,حدث خطأ ما
Amp.ErrorScreen.UserMismatchBody,هذا الكود مخصص لحساب مختلف. قم بتبديل الحسابات وأعد إجراء المسح الضوئي للمتابعة.
Amp.ErrorScreen.UserMismatchTitle,حساب غير صحيح
Amp.FAEUpsell.Modal.ExternalLink.ButtonCancel,
Amp.FAEUpsell.Modal.ExternalLink.ButtonStart,متابعة
Amp.FAEUpsell.Modal.ExternalLink.Text,سيؤدي ذلك إلى فتح المزيد من الألعاب والميزات مثل الدردشة.
Amp.FAEUpsell.Modal.ExternalLink.Title,لنتحقق من عمرك
Amp.FAEUpsell.Modal.Failed.ButtonClose,إغلاق
Amp.FAEUpsell.Modal.Failed.ButtonRetry,
Amp.FAEUpsell.Modal.Failed.Text,حدث خطأ ما. يُرجى إعادة المحاولة لاحقًا.
Amp.FAEUpsell.Modal.Failed.Title,خطأ في التحقق من العمر
Amp.FAEUpsell.Modal.Loading.ButtonCancel,
Amp.FAEUpsell.Modal.Loading.Text,قد تستغرق هذه العملية بضع ثوانٍ. إذا قمت بالإلغاء الآن، فقد لا يتم التحقُّق من عمرك.
Amp.FAEUpsell.Modal.Loading.Title,جارٍ التحقُّق من عمرك
Amp.FAEUpsell.Modal.QRCode.Description,افتح المزيد من الألعاب والميزات عند إكمال إجراءات تقدير العمر. امسح كود QR هذا باستخدام هاتفك أو جهازك اللوحي.
Amp.FAEUpsell.Modal.QRCode.Footer,هل يتعذَّر إجراء المسح الضوئي؟ نزِّل تطبيق Roblox على جهازك المحمول وانتقِل إلى الإعدادات > معلومات الحساب
Amp.FAEUpsell.Modal.QRCode.Title,أكمِل إجراءات تقدير العمر باستخدام تطبيق جهازك المحمول
Amp.IDVErrorScreen.Close,
Amp.IDVErrorScreen.Declined,عذرًا، تم رفض التحقق لأسباب تتعلق بالأمان. إذا أردت التحقق مرة أخرى، يرجى حينها الانتظار بضعة أيام.
Amp.IDVErrorScreen.Retry,حدث خطأ ما، الرجاء إعادة تحميل الصفحة والمحاولة مرة أخرى.
Amp.IDVErrorScreen.Timeout,عذرًا، استغرقت عملية التحقق وقتًا طويلاً. الرجاء تحديث الصفحة والمحاولة مرة أخرى.
Amp.IDVErrorScreen.Title,تعذّر التحقق
Amp.IDVUpsell.Button.Cancel,
Amp.IDVUpsell.Button.StartVerification,البدء بالتحقّق
Amp.IDVUpsell.Directions.IDBody,رخصة القيادة أو جواز السفر أو بطاقة الهوية أو تصريح الإقامة
Amp.IDVUpsell.Directions.IDHeader,تحضير بطاقة هوية صالحة
Amp.IDVUpsell.Directions.PhoneBody,تحتاج إلى هاتف ذكي للمتابعة
Amp.IDVUpsell.Directions.PhoneHeader,استخدام هاتف ذكي
Amp.IDVUpsell.Modal.Disclaimer,ملاحظة: أنت على وشك بدء عملية التحقق من الهوية مع موفر الخدمة لطرف ثالث. سيتم استخدام المعلومات التي يتم جمعها من خلال هذه العملية لأغراض تأمين حسابك و/أو تمكين ميزات Roblox.
Amp.IDVUpsell.Modal.PrivacyLinkText,إشعار خصوصية القياسات الحيوية
Amp.IDVUpsell.Modal.QRHeaderText,مسح رمز QR للبدء
Amp.IDVUpsell.Modal.Title,التحقق من العمر إلزامي
Amp.IDVUpsell.PrivacyPageHeader,سياسة الخصوصية
Amp.Upsell.Action.AskNow,اسأل الآن
Amp.Upsell.Description.PrologueEnablePurchase,نظرًا للقيود الإقليمية المُطبّقة، أنت بحاجة إلى إذن الوالدين لإجراء عملية الشراء هذه.
Amp.Upsell.Description.PrologueJoinExperience,للانضمام إلى هذه تجربة، تحتاج إلى الحصول على إذن والديك.
Amp.Upsell.Description.PrologueTextVpc,أنت بحاجة إلى إذن الوالدين.
Amp.Upsell.Description.PrologueUnblockUser,لإلغاء حظر {displayName}، تحتاج إلى إذن الوالدين
Amp.Upsell.Message.EmailSent,أرسلنا بريدًا إلكترونيًا إلى {parentEmail}
Amp.Upsell.Message.EmailSentPluralParent,أرسلنا بريدًا إلكترونيًا إلى بريد والديك
Amp.Upsell.Title.AskYourParent,اطلب الإذن من والديك
Amp.Upsell.Title.RequestSent,تم إرسال الطلب
Application.Logout.Action.Logout,تسجيل الخروج
Application.Logout.Message.Confirmation,هل أنت متأكد من أنك تريد تسجيل الخروج؟
Authentication.AccountSwitch.Action.SwitchAccount,تبديل الحسابات
Authentication.AccountSwitch.Header.SwitchAccountSentenceCase,
Authentication.CrossDevice.Heading.QuickLogin,تسجيل دخول سريع
Authentication.Login.Action.QuickSignIn,
Authentication.Login.Button.CloseAndSwitchPlatformAccount,يجب الخروج من منصة Roblox للتبديل إلى الحساب على منصة {platformAccountName}
Authentication.Login.Button.UseDifferentRobloxAccount,استخدِم حساب Roblox مختلف
Authentication.Login.Error.PasskeyOnlyAccount,تم إعداد حسابك لتسجيل الدخول باستخدام مفتاح مرور فقط. جرِّب تسجيل الدخول باستخدام مفتاح المرور أو استعادة حسابك.
