Key,Value
AccountIdentity.AgeCheck.Label.AgeBandOver13,13+
AccountIdentity.AgeCheck.Label.AgeBandOver13Checked,Altersgeprüft über 13 Jahre
AccountIdentity.AgeCheck.Label.AgeBandOver18,18+
AccountIdentity.AgeCheck.Label.AgeBandOver18Checked,Altersgeprüft über 18 Jahre
AccountIdentity.AgeCheck.Label.AgeBandUnder13,< 13
AccountIdentity.AgeCheck.Label.AgeGroup13To15,13–15
AccountIdentity.AgeCheck.Label.AgeGroup16To17,16–17
AccountIdentity.AgeCheck.Label.AgeGroup18To20,18–20
AccountIdentity.AgeCheck.Label.AgeGroup18To24,18–24
AccountIdentity.AgeCheck.Label.AgeGroup9To12,9–12
AccountIdentity.AgeCheck.Label.AgeGroupOver21,Über 21
AccountIdentity.AgeCheck.Label.AgeGroupOver25,Über 25
AccountIdentity.AgeCheck.Label.AgeGroupUnder9,5–8
Amp.AccountSettingsUpsell.Email.Button.Cancel,Abbrechen
Amp.AccountSettingsUpsell.Email.Button.Settings,Einstellungen
Amp.AccountSettingsUpsell.Email.Modal.ContentText,"Bitte verifiziere deine E-Mail, um auf diese Funktion zuzugreifen. 

1. Gehe zu Kontodetails in den Einstellungen
2. Wähle E-Mail hinzufügen
3. Schließe den Vorgang ab"
Amp.AccountSettingsUpsell.Email.Modal.Title,E-Mail-Verifizierung erforderlich
Amp.AccountSettingsUpsell.Phone.Button.Cancel,
Amp.AccountSettingsUpsell.Phone.Button.Settings,
Amp.AccountSettingsUpsell.Phone.Modal.ContentText,"Bitte verifiziere deine Telefonnummer, um auf dieses Erlebnis zuzugreifen. 

1. Gehe zu Kontodetails in den Einstellungen
2. Wähle Handy hinzufügen
3. Schließe den Vorgang ab"
Amp.AccountSettingsUpsell.Phone.Modal.Title,Telefon-Verifizierung erforderlich
Amp.ErrorScreen.BodyText,Zugangsstatus konnte nicht abgerufen werden
Amp.ErrorScreen.Cancel,
Amp.ErrorScreen.Retry,Erneut versuchen
Amp.ErrorScreen.Title,Ein Problem ist aufgetreten
Amp.ErrorScreen.UserMismatchBody,"Dieser QR-Code gehört zu einem anderen Konto. Wechsle das Konto und scanne ihn erneut, um fortzufahren."
Amp.ErrorScreen.UserMismatchTitle,Falsches Konto
Amp.FAEUpsell.Modal.ExternalLink.ButtonCancel,
Amp.FAEUpsell.Modal.ExternalLink.ButtonStart,Weiter
Amp.FAEUpsell.Modal.ExternalLink.Text,Dadurch werden weitere Spiele und Funktionen wie der Chat freigeschaltet.
Amp.FAEUpsell.Modal.ExternalLink.Title,Wir überprüfen jetzt dein Alter
Amp.FAEUpsell.Modal.Failed.ButtonClose,Schließen
Amp.FAEUpsell.Modal.Failed.ButtonRetry,
Amp.FAEUpsell.Modal.Failed.Text,Etwas ist schiefgelaufen. Bitte versuche es später erneut.
Amp.FAEUpsell.Modal.Failed.Title,Fehler bei der Altersprüfung
Amp.FAEUpsell.Modal.Loading.ButtonCancel,
Amp.FAEUpsell.Modal.Loading.Text,"Dies kann einen Moment dauern. Wenn du den Vorgang abbrichst, wird dein Alter möglicherweise nicht überprüft."
Amp.FAEUpsell.Modal.Loading.Title,Überprüfung deines Alters
Amp.FAEUpsell.Modal.QRCode.Description,"Schalte weitere Spiele und Funktionen frei, indem du eine Altersprüfung durchführst. Scanne diesen QR-Code mit deinem Telefon oder Tablet."
Amp.FAEUpsell.Modal.QRCode.Footer,Du scannst nicht? Lade die Roblox-App auf deinem mobilen Gerät herunter und gehe zu Einstellungen > Kontoinformationen
Amp.FAEUpsell.Modal.QRCode.Title,Führe eine Altersprüfung mit der mobilen App durch
Amp.IDVErrorScreen.Close,
Amp.IDVErrorScreen.Declined,"Deine Verifizierung wurde leider aus Sicherheitsgründen abgelehnt. Wenn du möchtest, kannst du es in ein paar Tagen erneut versuchen."
Amp.IDVErrorScreen.Retry,Etwas ist schiefgelaufen. Bitte aktualisiere die Seite und versuche es erneut.
Amp.IDVErrorScreen.Timeout,Der Verifizierungsvorgang hat leider zu lange gedauert. Bitte aktualisiere die Seite und versuche es erneut.
Amp.IDVErrorScreen.Title,Verifizierung fehlgeschlagen
Amp.IDVUpsell.Button.Cancel,
Amp.IDVUpsell.Button.StartVerification,Verifizierung starten
Amp.IDVUpsell.Directions.IDBody,"Führerschein, Reisepass, Ausweis, Aufenthaltserlaubnis"
Amp.IDVUpsell.Directions.IDHeader,Halte ein Ausweisdokument bereit
Amp.IDVUpsell.Directions.PhoneBody,"Du brauchst ein Smartphone, um fortzufahren"
Amp.IDVUpsell.Directions.PhoneHeader,Benutze ein Smartphone
Amp.IDVUpsell.Modal.Disclaimer,"Bitte beachte, dass du gerade dabei bist, das Identitätsprüfungsverfahren mit unserem Drittanbieter zu beginnen. Die durch diesen Vorgang erhobenen Informationen werden zur Sicherung deines Kontos und/oder zur Aktivierung von Roblox-Funktionen verwendet."
Amp.IDVUpsell.Modal.PrivacyLinkText,Roblox-Datenschutzrichtlinie für biometrische Daten
Amp.IDVUpsell.Modal.QRHeaderText,"Scanne den QR-Code, um zu beginnen"
Amp.IDVUpsell.Modal.Title,Altersverifizierung erforderlich
Amp.IDVUpsell.PrivacyPageHeader,Datenschutzrichtlinie
Amp.Upsell.Action.AskNow,Jetzt fragen
Amp.Upsell.Description.PrologueEnablePurchase,"Aufgrund regionaler Einschränkungen benötigst du die Erlaubnis deiner Eltern, um einen Kauf zu tätigen."
Amp.Upsell.Description.PrologueJoinExperience,"Um an dieser Experience teilzunehmen, benötigst du die Erlaubnis deiner Eltern."
Amp.Upsell.Description.PrologueTextVpc,Du brauchst die Erlaubnis der Eltern.
Amp.Upsell.Description.PrologueUnblockUser,"Um die Blockierung von {displayName} aufzuheben, benötigst du die Erlaubnis der Eltern"
Amp.Upsell.Message.EmailSent,Wir haben eine E-Mail an {parentEmail} gesendet
Amp.Upsell.Message.EmailSentPluralParent,Wir haben eine E-Mail an deine verbundenen Eltern gesendet
Amp.Upsell.Title.AskYourParent,Frage deine Eltern
Amp.Upsell.Title.RequestSent,Anfrage gesendet
Application.Logout.Action.Logout,Abmelden
Application.Logout.Message.Confirmation,Möchtest du dich wirklich abmelden?
Authentication.AccountSwitch.Action.SwitchAccount,Konto wechseln
Authentication.AccountSwitch.Header.SwitchAccountSentenceCase,
Authentication.CrossDevice.Heading.QuickLogin,Schnellanmeldung
Authentication.Login.Action.QuickSignIn,
Authentication.Login.Button.CloseAndSwitchPlatformAccount,"Roblox verlassen, um dich bei einem anderen {platformAccountName}-Konto anzumelden"
Authentication.Login.Button.UseDifferentRobloxAccount,Ein anderes Roblox-Konto verwenden
Authentication.Login.Error.PasskeyOnlyAccount,"Für dein Konto ist nur ein Passkey für die Anmeldung eingerichtet. Versuche, dich mit deinem Passkey anzumelden, oder stelle dein Konto wieder her."
Authentication.Login.Error.PlatformAccountConnectionFailure,Das Plattform-Konto kann nicht verifiziert werden. Bitte versuche es später erneut.
Authentication.Login.Heading.IncompatibleAccounts,Konten nicht kompatibel
