Key,Value
AccountIdentity.AgeCheck.Label.AgeBandOver13,13歳以上
AccountIdentity.AgeCheck.Label.AgeBandOver13Checked,年齢チェック済み 13歳以上
AccountIdentity.AgeCheck.Label.AgeBandOver18,18歳以上
AccountIdentity.AgeCheck.Label.AgeBandOver18Checked,年齢チェック済み 18歳以上
AccountIdentity.AgeCheck.Label.AgeBandUnder13,13歳未満
AccountIdentity.AgeCheck.Label.AgeGroup13To15,13～15歳
AccountIdentity.AgeCheck.Label.AgeGroup16To17,16～17歳
AccountIdentity.AgeCheck.Label.AgeGroup18To20,18～20歳
AccountIdentity.AgeCheck.Label.AgeGroup18To24,18～24歳
AccountIdentity.AgeCheck.Label.AgeGroup9To12,9～12歳
AccountIdentity.AgeCheck.Label.AgeGroupOver21,21歳以上
AccountIdentity.AgeCheck.Label.AgeGroupOver25,25歳以上
AccountIdentity.AgeCheck.Label.AgeGroupUnder9,5～8歳
Amp.AccountSettingsUpsell.Email.Button.Cancel,キャンセル
Amp.AccountSettingsUpsell.Email.Button.Settings,設定
Amp.AccountSettingsUpsell.Email.Modal.ContentText,"この機能にアクセスするにはメールアドレスの確認をしてください。

1. 「設定」の「アカウント情報」へ
2. 「メールアドレスを追加」を選択
3. 手続きを完了する
"
Amp.AccountSettingsUpsell.Email.Modal.Title,メールアドレスの確認が必要です
Amp.AccountSettingsUpsell.Phone.Button.Cancel,
Amp.AccountSettingsUpsell.Phone.Button.Settings,
Amp.AccountSettingsUpsell.Phone.Modal.ContentText,"この仮想空間にアクセスするには電話番号を確認してください。

1. 「設定」の「アカウント情報」へ
2. 「電話番号を追加」を選択
3. 手続きを完了する"
Amp.AccountSettingsUpsell.Phone.Modal.Title,電話番号の確認が必要です
Amp.ErrorScreen.BodyText,アクセス状態を取得できませんでした
Amp.ErrorScreen.Cancel,
Amp.ErrorScreen.Retry,再試行
Amp.ErrorScreen.Title,何らかの問題が発生しました。
Amp.ErrorScreen.UserMismatchBody,このQRコードは別のアカウント用です。続行するには、アカウントを切り替えて再度スキャンしてください。
Amp.ErrorScreen.UserMismatchTitle,アカウントが正しくありません
Amp.FAEUpsell.Modal.ExternalLink.ButtonCancel,
Amp.FAEUpsell.Modal.ExternalLink.ButtonStart,続ける
Amp.FAEUpsell.Modal.ExternalLink.Text,伏字フィルタ処理なしのチャットとパーティボイスを使用できるようにするには年齢チェックをしてください。
Amp.FAEUpsell.Modal.ExternalLink.Title,年齢チェックが必要です
Amp.FAEUpsell.Modal.Failed.ButtonClose,閉じる
Amp.FAEUpsell.Modal.Failed.ButtonRetry,やり直す
Amp.FAEUpsell.Modal.Failed.Text,問題が発生しました。後でもう一度お試しください。
Amp.FAEUpsell.Modal.Failed.Title,年齢チェックエラー
Amp.FAEUpsell.Modal.Loading.ButtonCancel,
Amp.FAEUpsell.Modal.Loading.Text,しばらくお待ちください。キャンセルすると、年齢を確認できない可能性があります。
Amp.FAEUpsell.Modal.Loading.Title,年齢をチェックしています
Amp.FAEUpsell.Modal.QRCode.Description,年齢チェックを完了すると、より多くのゲームや機能が利用可能になります。お使いのスマホかタブレットでこのQRコードをスキャンしてください。
Amp.FAEUpsell.Modal.QRCode.Footer,スキャンできない場合は、お使いのモバイルデバイスにRobloxアプリをダウンロードし、[設定] > [アカウント情報]に移動してください
Amp.FAEUpsell.Modal.QRCode.Title,モバイルアプリで年齢チェックを完了する
Amp.IDVErrorScreen.Close,
Amp.IDVErrorScreen.Declined,申し訳ありませんがセキュリティ上の理由により認証が却下されました。もう一度やり直す場合は、数日後に戻って来てください。
Amp.IDVErrorScreen.Retry,問題が発生しました。ページをリフレッシュしてから、もう一度お試しください。
Amp.IDVErrorScreen.Timeout,申し訳ありませんが確認プロセスが時間切れです。ページをリフレッシュしてもう一度お試しください。
Amp.IDVErrorScreen.Title,確認できませんでした
Amp.IDVUpsell.Button.Cancel,
Amp.IDVUpsell.Button.StartVerification,確認を開始
Amp.IDVUpsell.Directions.IDBody,運転免許証、パスポート、本人確認書類、在留許可書
Amp.IDVUpsell.Directions.IDHeader,有効な本人確認書類を準備する
Amp.IDVUpsell.Directions.PhoneBody,続けるにはスマホが必要です
Amp.IDVUpsell.Directions.PhoneHeader,スマホを使用
Amp.IDVUpsell.Modal.Disclaimer,ご注意: 当社の第三者サービスプロバイダによる本人確認書類の認証プロセスを開始します。 このプロセスを通じて収集された情報は、あなたのアカウントの保護またはRobloxの機能を有効にする目的で使用されます。
Amp.IDVUpsell.Modal.PrivacyLinkText,Roblox生体認証プライバシーに関するお知らせ
Amp.IDVUpsell.Modal.QRHeaderText,QRコードをスキャンして開始
