Key,Value
AccountIdentity.AgeCheck.Label.AgeBandOver13,13+
AccountIdentity.AgeCheck.Label.AgeBandOver18,18+
AccountIdentity.AgeCheck.Label.AgeBandUnder13,Младше 13
Amp.ErrorScreen.BodyText,Не удалось получить статус доступа
Amp.ErrorScreen.Cancel,Отмена
Amp.ErrorScreen.Retry,Повторить
Amp.ErrorScreen.Title,Что-то пошло не так
Amp.FAEUpsell.Modal.ExternalLink.ButtonCancel,
Amp.FAEUpsell.Modal.ExternalLink.ButtonStart,Начать оценку возраста
Amp.FAEUpsell.Modal.ExternalLink.Text,"Проверь свой возраст, чтобы разблокировать чат без фильтров и голосовой чат команды."
Amp.FAEUpsell.Modal.ExternalLink.Title,Требуется проверка возраста
Amp.FAEUpsell.Modal.Failed.ButtonClose,Закрыть
Amp.FAEUpsell.Modal.Failed.ButtonRetry,
Amp.FAEUpsell.Modal.Failed.Text,Что-то пошло не так. Повтори попытку позже.
Amp.FAEUpsell.Modal.Failed.Title,Ошибка проверки возраста
Amp.IDVErrorScreen.Close,
Amp.IDVErrorScreen.Declined,"К сожалению, проверка была отклонена по соображениям безопасности. Ты можешь повторить попытку через несколько дней."
Amp.IDVErrorScreen.Retry,Что-то пошло не так. Обнови страницу и повтори попытку.
Amp.IDVErrorScreen.Timeout,"К сожалению, процесс проверки занял слишком много времени. Обнови страницу и попробуй снова."
Amp.IDVErrorScreen.Title,Проверка не удалась
Amp.IDVUpsell.Button.Cancel,
Amp.IDVUpsell.Button.StartVerification,Начать проверку
Amp.IDVUpsell.Directions.IDBody,"Водительские права, паспорт, удостоверение личности, вид на жительство"
Amp.IDVUpsell.Directions.IDHeader,Приготовь действительное удостоверение личности
Amp.IDVUpsell.Directions.PhoneBody,"Необходим смартфон, чтобы продолжить"
Amp.IDVUpsell.Directions.PhoneHeader,Используй смартфон
Amp.IDVUpsell.Modal.Disclaimer,Внимание: сейчас начнётся проверка удостоверения личности с использованием услуг третьей стороны. Собранная информация будет использована исключительно в целях обеспечения защиты аккаунта и/или работы функций Roblox.
Amp.IDVUpsell.Modal.PrivacyLinkText,Уведомление о конфиденциальности биометрических данных Roblox
Amp.IDVUpsell.Modal.QRHeaderText,"Отсканируй QR-код, чтобы начать"
Amp.IDVUpsell.Modal.Title,Требуется подтверждение возраста
Amp.IDVUpsell.PrivacyPageHeader,Политика конфиденциальности
Amp.Upsell.Action.AskNow,Спросить сейчас
