Key,Value
AccountIdentity.AgeCheck.Label.AgeBandOver13,13 ปีขึ้นไป
AccountIdentity.AgeCheck.Label.AgeBandOver13Checked,ตรวจสอบแล้วว่ามีอายุ 13 ปีขึ้นไป
AccountIdentity.AgeCheck.Label.AgeBandOver18,18 ปีขึ้นไป
AccountIdentity.AgeCheck.Label.AgeBandOver18Checked,ตรวจสอบแล้วว่ามีอายุ 18 ปีขึ้นไป
AccountIdentity.AgeCheck.Label.AgeBandUnder13,<13
AccountIdentity.AgeCheck.Label.AgeGroup13To15,13-15
AccountIdentity.AgeCheck.Label.AgeGroup16To17,16-17
AccountIdentity.AgeCheck.Label.AgeGroup18To20,18-20
AccountIdentity.AgeCheck.Label.AgeGroup18To24,18-24
AccountIdentity.AgeCheck.Label.AgeGroup9To12,9-12
AccountIdentity.AgeCheck.Label.AgeGroupOver21,21 ขึ้นไป
AccountIdentity.AgeCheck.Label.AgeGroupOver25,25+
AccountIdentity.AgeCheck.Label.AgeGroupUnder9,5-8
Amp.ErrorScreen.BodyText,ดึงข้อมูลสถานะการเข้าถึงของคุณไม่สำเร็จ
Amp.ErrorScreen.Cancel,ยกเลิก
Amp.ErrorScreen.Retry,ลองอีกครั้ง
Amp.ErrorScreen.Title,มีปัญหาบางอย่างเกิดขึ้น
Amp.ErrorScreen.UserMismatchBody,รหัส QR นี้ใช้กับบัญชีอื่น โปรดสลับบัญชีและสแกนอีกครั้งเพื่อดำเนินการต่อ
Amp.ErrorScreen.UserMismatchTitle,บัญชีไม่ถูกต้อง
Amp.FAEUpsell.Modal.ExternalLink.ButtonCancel,
Amp.FAEUpsell.Modal.ExternalLink.ButtonStart,ดำเนินการต่อ
Amp.FAEUpsell.Modal.ExternalLink.Text,การดำเนินการนี้จะปลดล็อคเกมและคุณสมบัติเพิ่มเติม เช่น การแชท
Amp.FAEUpsell.Modal.ExternalLink.Title,มาตรวจสอบอายุของคุณกัน
Amp.FAEUpsell.Modal.Failed.ButtonClose,ปิด
Amp.FAEUpsell.Modal.Failed.ButtonRetry,
Amp.FAEUpsell.Modal.Failed.Text,มีปัญหาบางอย่างเกิดขึ้น โปรดลองอีกครั้งในภายหลัง
Amp.FAEUpsell.Modal.Failed.Title,ข้อผิดพลาดในการตรวจสอบอายุ
Amp.FAEUpsell.Modal.Loading.ButtonCancel,
Amp.FAEUpsell.Modal.Loading.Text,การดำเนินการนี้อาจใช้เวลาสักครู่ หากคุณยกเลิก อาจไม่สามารถตรวจสอบอายุของคุณได้
Amp.FAEUpsell.Modal.Loading.Title,กำลังตรวจสอบอายุของคุณ
Amp.FAEUpsell.Modal.QRCode.Description,ปลดล็อคเกมและฟีเจอร์เพิ่มเติมเมื่อคุณตรวจสอบอายุเสร็จ สแกนรหัส QR นี้ด้วยโทรศัพท์หรือแท็บเล็ตของคุณ
Amp.FAEUpsell.Modal.QRCode.Footer,หากไม่สแกน ดาวน์โหลดแอป Roblox บนโทรศัพท์มือถือของคุณและไปที่การตั้งค่า > ข้อมูลบัญชี
Amp.FAEUpsell.Modal.QRCode.Title,ตรวจสอบอายุให้เสร็จด้วยแอปบนมือถือ
Amp.IDVErrorScreen.Close,
Amp.IDVErrorScreen.Declined,ขออภัย การตรวจสอบยืนยันถูกปฏิเสธเนื่องจากเหตุผลด้านความปลอดภัย หากคุณต้องการลองอีกครั้ง โปรดกลับมาใหม่ในอีกสองสามวัน
Amp.IDVErrorScreen.Retry,มีปัญหาบางอย่างเกิดขึ้น โปรดรีเฟรชหน้านี้แล้วลองอีกครั้ง
Amp.IDVErrorScreen.Timeout,ขออภัยที่การประมวลผลการตรวจสอบยืนยันใช้เวลานานเกินไป โปรดรีเฟรชหน้านี้แล้วลองอีกครั้ง
Amp.IDVErrorScreen.Title,ตรวจสอบยืนยันไม่สำเร็จ
Amp.IDVUpsell.Button.Cancel,
Amp.IDVUpsell.Button.StartVerification,เริ่มการตรวจสอบยืนยัน
Amp.IDVUpsell.Directions.IDBody,"ใบขับขี่, พาสปอร์ต, บัตรประชาชน, ใบสำคัญถิ่นที่อยู่"
Amp.IDVUpsell.Directions.IDHeader,เตรียม ID ที่ถูกต้อง
Amp.IDVUpsell.Directions.PhoneBody,คุณจำเป็นต้องใช้สมาร์ทโฟนเพื่อดำเนินการต่อ
Amp.IDVUpsell.Directions.PhoneHeader,ใช้สมาร์ทโฟน
Amp.IDVUpsell.Modal.Disclaimer,โปรดทราบ: คุณกำลังจะเริ่มกระบวนการตรวจสอบยืนยันตัวตนกับผู้ให้บริการของเราซึ่งเป็นบริษัทภายนอก ข้อมูลที่เก็บรวมรวมผ่านกระบวนการนี้จะถูกนำไปใช้ในการรักษาความปลอดภัยให้กับบัญชีของคุณและ/หรือเปิดใช้งานคุณสมบัติต่างๆ บน Roblox
Amp.IDVUpsell.Modal.PrivacyLinkText,ประกาศเกี่ยวกับความเป็นส่วนตัวของไบโอเมตริกบน Roblox
Amp.IDVUpsell.Modal.QRHeaderText,สแกนรหัส QR เพื่อเริ่ม
Amp.IDVUpsell.Modal.Title,ต้องตรวจสอบยืนยันอายุ
Amp.IDVUpsell.PrivacyPageHeader,นโยบายความเป็นส่วนตัว
Amp.Upsell.Action.AskNow,ถามเลยตอนนี้
Amp.Upsell.Description.PrologueEnablePurchase,เนื่องจากข้อจำกัดในระดับภูมิภาค คุณต้องได้รับอนุญาตจากผู้ปกครองเพื่อทำการซื้อนี้
